MomenTUM.A1ModJulian,MomenTUM.Mars.Altitude
31634.68325050637,10137.16483148473
31634.68707082036,9013.164658231786
31634.69053945662,7988.033802160802
31634.69369799073,7051.938371791684
31634.69658148566,6196.823715243539
31634.69921959197,5416.155106220001
31634.70163273201,4706.081014421021
31634.70383289722,4065.137180750499
31634.70582225161,3494.431788168629
31634.7076135304,2991.522577737815
31634.70922745205,2551.264980311103
31634.71069011083,2166.813111311956
31634.7120300826,1830.783295489177
31634.71327107042,1537.414694591019
31634.71443494477,1281.913780647783
31634.71553780134,1061.382176980429
31634.71660613592,871.8351311484939
31634.71766038741,712.1367377180518
31634.71868624807,586.7303058069392
31634.71964325542,499.5633364989126
31634.72054113363,446.161411698416
31634.72140872065,422.01914532214
31634.72173301307,420.0749327060503
31634.72161727233,420.3244376383686
31634.72146806601,421.3739704600944
31634.72125453716,424.3003864195766
31634.72099638495,430.071265902302
31634.72064065261,442.0034882142077
31634.72009238634,469.3085899507455
31634.71948653002,511.7545317497829
31634.71886679241,567.9968058667441
31634.71824053776,637.3416217681729
31634.71760202947,720.196220438736
31634.7169550951,815.762367765984
31634.71628977548,925.2473737575942
