MomenTUM.A1ModJulian,MomenTUM.Phobos.RMAG
31346.08722166755,213271602.7524517
31346.09416611199,213260846.3879747
31346.10111055644,213250240.37706
31346.10805500088,213239793.7408915
31346.11499944532,213229512.5528787
31346.12194388977,213219399.7474086
31346.12888833421,213209454.9905662
31346.13583277865,213199674.6212605
31346.1427772231,213190051.6694663
31346.14972166755,213180575.9556884
31346.15666611199,213171234.2726453
31346.16361055644,213162010.6469733
31346.17055500088,213152886.6750574
31346.17749944532,213143841.9237619
31346.18444388977,213134854.3838767
31346.19138833421,213125900.9617776
31346.19833277865,213116957.9933211
31346.2052772231,213108001.7634414
31346.21222166755,213099009.015529
31346.21916611199,213089957.4357322
31346.22611055644,213080826.0995786
31346.23305500088,213071595.8705497
31346.23999944532,213062249.7431436
31346.24694388977,213052773.1259959
31346.25388833421,213043154.0637823
31346.26083277865,213033383.3952063
31346.2677772231,213023454.8530667
31346.27472166755,213013365.1084108
31346.28166611199,213003113.7618486
31346.28861055644,212992703.2889763
31346.29555500088,212982138.9443587
31346.30249944532,212971428.6287677
31346.30944388977,212960582.7243041
31346.31638833421,212949613.9012075
31346.32333277865,212938536.899731
31346.3302772231,212927368.2896118
31346.33722166755,212916126.2093482
31346.34416611199,212904830.0867488
31346.35111055644,212893500.3421287
31346.35805500088,212882158.075407
31346.36499944532,212870824.7383741
31346.37194388977,212859521.7938791
31346.37888833421,212848270.3640143
31346.38583277865,212837090.8704307
31346.3927772231,212826002.6706993
31346.39972166755,212815023.6958081
31346.40666611199,212804170.0951144
31346.41361055644,212793455.896277
31346.42055500088,212782892.6887658
31346.42749944532,212772489.340361
31346.43444388977,212762251.7567658
31346.44138833421,212752182.6942187
31346.44833277865,212742281.6346367
31346.4552772231,212732544.7316134
31346.46222166755,212722964.8336816
31346.46916611199,212713531.5887065
31346.47611055644,212704231.6302515
31346.48305500088,212695048.8433627
31346.48999944532,212685964.7037198
31346.49694388977,212676958.6810309
31346.50388833421,212668008.6948702
31346.51083277865,212659091.606397
31346.5177772231,212650183.7324336
31346.52472166755,212641261.3640001
31346.53166611199,212632301.2745599
31346.53861055644,212623281.2023355
31346.54555500088,212614180.2944012
31346.55249944532,212604979.5027021
31346.55944388977,212595661.9246243
31346.56638833421,212586213.0834413
31346.57333277865,212576621.146791
31346.5802772231,212566877.0834125
31346.58722166755,212556974.7604523
31346.59416611199,212546910.9847591
31346.60111055644,212536685.4928083
31346.60805500088,212526300.8941306
31346.61499944532,212515762.573268
31346.62194388977,212505078.5552518
31346.62888833421,212494259.3388796
31346.63583277865,212483317.7018285
31346.6427772231,212472268.4807155
31346.64972166755,212461128.3289413
31346.65666611199,212449915.4542637
31346.66361055644,212438649.3378148
31346.67055500088,212427350.4359693
31346.67749944532,212416039.8662759
31346.68444388977,212404739.0789367
31346.69138833421,212393469.51535
31346.69833277865,212382252.2561866
31346.7052772231,212371107.6618458
31346.71222166755,212360055.0093645
31346.71916611199,212349112.1308154
31346.72611055644,212338295.0595606
31346.73305500088,212327617.691815
31346.73999944532,212317091.4721896
31346.74694388977,212306725.112533
31346.75388833421,212296524.3539272
31346.76083277865,212286491.782198
31346.7677772231,212276626.7062592
31346.77472166755,212266925.1085063
31346.78166611199,212257379.6705838
31346.78861055644,212247979.8814513
31346.79555500088,212238712.227569
31346.80249944532,212229560.462311
31346.80944388977,212220505.9485178
31346.81638833421,212211528.0647805
31346.82333277865,212202604.6632056
31346.8302772231,212193712.5638983
31346.83722166755,212184828.0702644
31346.84416611199,212175927.4884677
31346.85111055644,212166987.6351165
31346.85805500088,212157986.3185151
31346.86499944532,212148902.7809499
31346.87194388977,212139718.0920986
31346.87888833421,212130415.4861956
31346.88583277865,212120980.6387684
31346.8927772231,212111401.8810504
31346.89972166755,212101670.3526758
31346.90666611199,212091780.0949881
31346.91361055644,212081728.0886969
31346.92055500088,212071514.2405159
31346.92749944532,212061141.3236822
31346.93444388977,212050614.8775861
31346.94138833421,212039943.0712113
31346.94833277865,212029136.5348439
31346.9552772231,212018208.1639179
31346.96222166755,212007172.8982526
31346.96916611199,211996047.4792423
31346.97611055644,211984850.1869024
31346.98305500088,211973600.5583616
31346.98999944532,211962319.0889544
31346.99694388977,211951026.9179334
31347.00388833421,211939745.5020518
